,Cuno,Evrart Claire,Garte,Jean Vicquemare,Joyce Messier,Kim Kitsuragi,Klaasje (Miss Oranje Disco Dancer),Lena,Noid,Soona,The Deserter,Titus Hardie
Cuno,202,0,0,4,0,2,0,2,3,0,6,14
Evrart Claire,0,192,12,9,21,12,5,3,8,2,8,16
Garte,0,0,5,0,1,3,0,0,0,0,0,0
Jean Vicquemare,4,17,15,32,4,17,5,7,6,4,12,26
Joyce Messier,0,11,7,4,114,20,11,3,3,7,2,3
Kim Kitsuragi,3,2,5,4,8,65,6,5,10,3,16,3
Klaasje (Miss Oranje Disco Dancer),0,1,5,1,19,11,64,2,11,4,13,6
Lena,0,0,4,2,38,10,2,31,9,2,6,2
Noid,6,1,3,3,3,9,2,1,26,4,5,3
Soona,0,0,0,0,0,0,1,0,0,0,0,0
The Deserter,1,3,4,2,12,6,9,0,2,2,78,5
Titus Hardie,1,0,3,4,1,1,2,0,3,0,2,33
