speaker_canon,lines,n_words,type_token_ratio,hapax_rate,exclaim_rate,question_rate,ellipsis_rate,caps_word_rate,flesch_reading_ease
Kim Kitsuragi,4922,30.245,0.891,0.815,0.003,0.025,0.018,0.003,76.808
Cuno,916,25.954,0.886,0.8,0.02,0.029,0.018,0.006,89.614
Joyce Messier,910,30.188,0.884,0.799,0.003,0.016,0.015,0.005,73.929
Klaasje (Miss Oranje Disco Dancer),658,29.755,0.889,0.807,0.003,0.02,0.017,0.001,81.72
Titus Hardie,527,28.431,0.901,0.826,0.011,0.029,0.014,0.003,88.572
Evrart Claire,506,33.492,0.876,0.781,0.008,0.014,0.011,0.001,82.223
The Deserter,470,39.166,0.849,0.748,0.004,0.014,0.03,0.003,78.717
Jean Vicquemare,421,24.083,0.891,0.804,0.012,0.04,0.015,0.002,83.966
Garte,401,27.282,0.893,0.813,0.008,0.034,0.013,0.003,83.765
Lena,379,31.544,0.891,0.809,0.011,0.012,0.022,0.0,75.038
Noid,395,22.899,0.92,0.856,0.006,0.018,0.016,0.004,83.817
Soona,369,26.133,0.903,0.829,0.006,0.015,0.021,0.007,76.256
